Rating,sentiment,sentiment_score
2,NEGATIVE,0.9971060156822205
1,NEGATIVE,0.9883896112442017
1,POSITIVE,0.9997438788414001
1,NEGATIVE,0.9996010661125183
1,NEGATIVE,0.9992462396621704
1,NEGATIVE,0.9992947578430176
1,NEGATIVE,0.9973863959312439
1,NEGATIVE,0.9940189123153687
1,NEGATIVE,0.9990622401237488
1,NEGATIVE,0.999775230884552
1,NEGATIVE,0.9962446093559265
1,NEGATIVE,0.9995372295379639
1,NEGATIVE,0.9992819428443909
5,POSITIVE,0.9887672066688538
1,NEGATIVE,0.9995355606079102
1,NEGATIVE,0.9848441481590271
2,NEGATIVE,0.9989581108093262
2,NEGATIVE,0.9971494078636169
1,NEGATIVE,0.9993734955787659
1,NEGATIVE,0.9944943785667419
1,NEGATIVE,0.9951747059822083
1,NEGATIVE,0.9977344274520874
1,NEGATIVE,0.9995933175086975
1,NEGATIVE,0.9997239708900452
1,NEGATIVE,0.9994694590568542
3,NEGATIVE,0.9995947480201721
1,NEGATIVE,0.9985307455062866
1,NEGATIVE,0.9996639490127563
1,NEGATIVE,0.996834933757782
1,NEGATIVE,0.9776282906532288
1,NEGATIVE,0.9986361861228943
1,NEGATIVE,0.9997122883796692
1,NEGATIVE,0.5896031856536865
1,NEGATIVE,0.9807993173599243
1,NEGATIVE,0.9944943785667419
1,NEGATIVE,0.9987744688987732
1,NEGATIVE,0.929974377155304
1,NEGATIVE,0.9991057515144348
1,NEGATIVE,0.9995404481887817
1,NEGATIVE,0.9975021481513977
2,NEGATIVE,0.9874935746192932
1,NEGATIVE,0.9430157542228699
1,NEGATIVE,0.9997339844703674
1,NEGATIVE,0.9954745173454285
1,NEGATIVE,0.9984996318817139
1,NEGATIVE,0.9998070597648621
1,NEGATIVE,0.9995805621147156
1,POSITIVE,0.9951950907707214
5,POSITIVE,0.9991896748542786
2,NEGATIVE,0.9995933175086975
1,NEGATIVE,0.9997503161430359
1,NEGATIVE,0.9932409524917603
1,POSITIVE,0.9993738532066345
1,NEGATIVE,0.9920111298561096
1,NEGATIVE,0.9942130446434021
1,NEGATIVE,0.9936081171035767
1,NEGATIVE,0.993587851524353
1,NEGATIVE,0.9991242289543152
1,NEGATIVE,0.9997671246528625
1,POSITIVE,0.9885300993919373
1,POSITIVE,0.8790907859802246
1,NEGATIVE,0.9995954632759094
4,NEGATIVE,0.9362885355949402
3,NEGATIVE,0.9993775486946106
5,NEGATIVE,0.9854114055633545
