Rating,sentiment,sentiment_score
1,NEGATIVE,0.9984832406044006
5,POSITIVE,0.9984719157218933
5,POSITIVE,0.9998574256896973
1,NEGATIVE,0.9963808655738831
5,POSITIVE,0.9927611351013184
5,POSITIVE,0.9998210072517395
4,POSITIVE,0.9936172962188721
5,POSITIVE,0.9997166991233826
5,POSITIVE,0.9993065595626831
1,NEGATIVE,0.9997583031654358
1,NEGATIVE,0.9985787868499756
4,NEGATIVE,0.947070300579071
5,POSITIVE,0.9998468160629272
1,NEGATIVE,0.9911530613899231
1,NEGATIVE,0.9997797608375549
5,POSITIVE,0.9998455047607422
1,POSITIVE,0.9998548030853271
1,NEGATIVE,0.9997736811637878
2,NEGATIVE,0.9996097683906555
1,NEGATIVE,0.9992471933364868
5,POSITIVE,0.9986091256141663
1,NEGATIVE,0.9990418553352356
1,NEGATIVE,0.9993414282798767
1,NEGATIVE,0.9941126704216003
1,NEGATIVE,0.9975758194923401
3,NEGATIVE,0.9826309084892273
5,POSITIVE,0.9996201992034912
5,POSITIVE,0.9998540878295898
1,NEGATIVE,0.99553382396698
1,POSITIVE,0.8204671740531921
5,POSITIVE,0.9997099041938782
2,NEGATIVE,0.9989131689071655
5,NEGATIVE,0.9989684820175171
5,POSITIVE,0.9995914101600647
4,POSITIVE,0.9975451827049255
3,NEGATIVE,0.9891424179077148
1,NEGATIVE,0.9918373227119446
5,POSITIVE,0.8511989116668701
5,POSITIVE,0.9974435567855835
5,POSITIVE,0.9995380640029907
5,POSITIVE,0.8879906535148621
5,POSITIVE,0.9996140599250793
5,POSITIVE,0.9975553154945374
1,POSITIVE,0.9154602885246277
1,NEGATIVE,0.991757333278656
1,NEGATIVE,0.9990039467811584
1,NEGATIVE,0.9976868629455566
5,POSITIVE,0.9998602867126465
5,NEGATIVE,0.9839102029800415
5,POSITIVE,0.9998601675033569
1,NEGATIVE,0.9918308854103088
5,POSITIVE,0.9998533725738525
5,NEGATIVE,0.9977182149887085
5,POSITIVE,0.9992303848266602
1,NEGATIVE,0.9726190567016602
3,POSITIVE,0.6862167119979858
5,POSITIVE,0.9998716115951538
5,POSITIVE,0.9996122717857361
5,NEGATIVE,0.9547601938247681
5,POSITIVE,0.9998683929443359
5,POSITIVE,0.9997434020042419
5,POSITIVE,0.9998496770858765
2,NEGATIVE,0.999544084072113
1,NEGATIVE,0.9979277849197388
1,NEGATIVE,0.9979351758956909
1,NEGATIVE,0.9995163679122925
5,POSITIVE,0.9994420409202576
5,POSITIVE,0.9978169202804565
1,NEGATIVE,0.999733030796051
5,POSITIVE,0.9994819760322571
5,POSITIVE,0.9998812675476074
1,NEGATIVE,0.9976029992103577
1,NEGATIVE,0.9909197092056274
5,NEGATIVE,0.9534406065940857
5,POSITIVE,0.9982238411903381
1,NEGATIVE,0.9976758360862732
5,POSITIVE,0.9116407036781311
5,NEGATIVE,0.9995856881141663
1,NEGATIVE,0.9991409778594971
3,NEGATIVE,0.9998131394386292
1,NEGATIVE,0.9997380375862122
1,NEGATIVE,0.9989872574806213
5,POSITIVE,0.9995912909507751
5,NEGATIVE,0.9977182149887085
5,POSITIVE,0.9971325397491455
5,POSITIVE,0.9962705373764038
5,POSITIVE,0.9997633099555969
1,NEGATIVE,0.9997263550758362
1,NEGATIVE,0.9556785225868225
5,POSITIVE,0.9976215958595276
1,NEGATIVE,0.993171215057373
5,POSITIVE,0.9998000264167786
1,NEGATIVE,0.9982660412788391
1,NEGATIVE,0.9995939135551453
4,NEGATIVE,0.997225821018219
1,NEGATIVE,0.9996176958084106
5,POSITIVE,0.9997312426567078
5,POSITIVE,0.999854326248169
5,POSITIVE,0.9996671676635742
5,POSITIVE,0.9945857524871826
5,POSITIVE,0.9962098598480225
5,POSITIVE,0.9969485402107239
5,NEGATIVE,0.9987615346908569
1,NEGATIVE,0.9164329171180725
1,NEGATIVE,0.994392991065979
2,NEGATIVE,0.9992942810058594
1,NEGATIVE,0.9997743964195251
4,NEGATIVE,0.9767106175422668
5,POSITIVE,0.9886334538459778
5,POSITIVE,0.9817043542861938
1,NEGATIVE,0.999718964099884
1,NEGATIVE,0.991881787776947
1,NEGATIVE,0.9986009001731873
1,NEGATIVE,0.9104754328727722
5,POSITIVE,0.9998313188552856
5,NEGATIVE,0.9975780844688416
5,POSITIVE,0.9998375177383423
5,POSITIVE,0.9992949962615967
1,POSITIVE,0.9069331288337708
5,POSITIVE,0.99986732006073
5,POSITIVE,0.99982088804245
5,NEGATIVE,0.729317843914032
1,NEGATIVE,0.9967825412750244
4,POSITIVE,0.999847412109375
5,POSITIVE,0.9998216032981873
5,POSITIVE,0.9997684359550476
5,POSITIVE,0.9997357726097107
5,POSITIVE,0.9997190833091736
1,NEGATIVE,0.9903044104576111
1,NEGATIVE,0.9983324408531189
5,POSITIVE,0.802236795425415
1,NEGATIVE,0.9825537800788879
5,POSITIVE,0.9998596906661987
5,NEGATIVE,0.9894440770149231
5,POSITIVE,0.998565137386322
1,NEGATIVE,0.9983490705490112
1,NEGATIVE,0.9997280240058899
5,POSITIVE,0.9998732805252075
5,POSITIVE,0.9899839162826538
5,POSITIVE,0.9811754822731018
